date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2020-11-29,62908585,1535802,,589945,10405,,,2441.32339
2020-05-27,5699930,388356,2338599,99103,4470,64423,2972975,6813.346831
2021-11-19,256964675,5170150,,529117,7302,,,2012.008071
2022-02-13,411902718,5846058,,2339513,10685,,,1419.281239
2020-02-11,44679,1115,4684,2968,89,545,38880,2495.579579
2020-02-17,72819,1870,12579,4311,122,1232,58370,2568.011096
2020-10-17,39755360,1177949,27329956,352740,5419,205397,11247455,2962.994172
2021-03-15,120658174,2769059,,432362,8977,,,2294.961798
2021-08-05,201432662,4293771,,614837,9401,,,2131.616073
2022-04-11,500087634,6214124,,1025120,3381,,,1242.607011
2020-07-09,12287412,598887,6715222,199452,5139,139548,4973303,4873.988111
2022-01-01,289916934,5473012,,1402081,6342,,,1887.786244
2021-04-16,140396984,3125852,,749986,12414,,,2226.438141
2022-03-14,460391907,6079958,,1715567,6120,,,1320.604882
2023-02-09,671027193,6771988,,181366,1456,,,1009.197253
2023-03-04,674410431,6795193,,136633,913,,,1007.575311
2020-09-13,29076027,987662,19622523,273609,6009,212541,8465842,3396.825846
2020-10-29,45105454,1251279,30307567,476202,6424,275361,13546608,2774.119068
2022-08-24,598128057,6480618,,754015,2297,,,1083.483365
2020-10-06,35861787,1116564,25017667,308331,6107,227034,9727556,3113.520249
2021-02-06,106193298,2406123,,467682,13195,,,2265.795531
2021-09-09,223747300,4635264,,582746,9216,,,2071.651367
2022-08-01,577818682,6423486,,1017294,2341,,,1111.67849
2021-03-01,114800133,2641895,,385274,9742,,,2301.299599
2021-08-17,209150497,4409039,,657808,9743,,,2108.070056
2022-10-09,620907009,6558943,,449820,1472,,,1056.348681
2022-12-25,655611275,6681086,,569319,1964,,,1019.062096
2020-11-21,58280899,1455275,,594418,9939,,,2497.001633
2021-03-24,125276967,2859152,,515145,9839,,,2282.264704
2021-07-25,194689025,4189244,,535519,9965,,,2151.761765
2022-09-16,610974117,6526244,,488595,1734,,,1068.17029
2023-01-17,665993989,6729249,,343492,2143,,,1010.406867
2020-08-04,18537275,750907,11136668,255329,6084,197696,6649700,4050.794952
2021-04-10,135817716,3051901,,654506,12160,,,2247.056636
2021-07-02,183580016,3993368,,380801,7782,,,2175.273805
2022-03-08,449966841,6043881,,1560259,7058,,,1343.183641
