,country,year,population
290,Germany,2022,83797985.0
291,Germany,2023,84482267.0
292,Ghana,2020,32180401.0
293,Ghana,2021,32833031.0
294,Ghana,2022,33475870.0
295,Ghana,2023,34121985.0
296,Gibraltar,2020,32709.0
297,Gibraltar,2021,32669.0
298,Gibraltar,2022,32649.0
299,Gibraltar,2023,32688.0
300,Greece,2020,10698599.0
301,Greece,2021,10569207.0
302,Greece,2022,10426919.0
303,Greece,2023,10361295.0
304,Greenland,2020,56367.0
305,Greenland,2021,56653.0
306,Greenland,2022,56661.0
307,Greenland,2023,56865.0
308,Grenada,2020,123663.0
309,Grenada,2021,124610.0
310,Grenada,2022,125438.0
311,Grenada,2023,126183.0
312,Guam,2020,169231.0
313,Guam,2021,170534.0
314,Guam,2022,171774.0
315,Guam,2023,172952.0
316,Guatemala,2020,16858333.0
317,Guatemala,2021,17109746.0
318,Guatemala,2022,17357886.0
319,Guatemala,2023,17602431.0
320,Guinea,2020,13205153.0
321,Guinea,2021,13531906.0
322,Guinea,2022,13859341.0
323,Guinea,2023,14190612.0
324,Guinea-Bissau,2020,2015828.0
325,Guinea-Bissau,2021,2060721.0
326,Guinea-Bissau,2022,2105566.0
327,Guinea-Bissau,2023,2150842.0
328,Guyana,2020,797202.0
329,Guyana,2021,804567.0
330,Guyana,2022,808726.0
331,Guyana,2023,813834.0
332,Haiti,2020,11306801.0
333,Haiti,2021,11447569.0
334,Haiti,2022,11584996.0
335,Haiti,2023,11724763.0
336,Honduras,2020,10121763.0
337,Honduras,2021,10278345.0
338,Honduras,2022,10432860.0
339,Honduras,2023,10593798.0
340,Hong Kong,2020,7481000.0
341,Hong Kong,2021,7413100.0
342,Hong Kong,2022,7346100.0
343,Hong Kong,2023,7536100.0
344,Hungary,2020,9750149.0
345,Hungary,2021,9709891.0
346,Hungary,2022,9643048.0
347,Hungary,2023,9589872.0
348,Iceland,2020,366463.0
349,Iceland,2021,372520.0
350,Iceland,2022,382003.0
351,Iceland,2023,393600.0
352,India,2020,1396387127.0
353,India,2021,1407563842.0
354,India,2022,1417173173.0
355,India,2023,1428627663.0
356,Indonesia,2020,271857970.0
357,Indonesia,2021,273753191.0
358,Indonesia,2022,275501339.0
359,Indonesia,2023,277534122.0
360,Iran,2020,87290193.0
361,Iran,2021,87923432.0
362,Iran,2022,88550570.0
363,Iran,2023,89172767.0
364,Iraq,2020,42556984.0
365,Iraq,2021,43533592.0
366,Iraq,2022,44496122.0
367,Iraq,2023,45504560.0
368,Ireland,2020,4985382.0
369,Ireland,2021,5033164.0
370,Ireland,2022,5127170.0
371,Ireland,2023,5262382.0
372,Isle of Man,2020,84046.0
373,Isle of Man,2021,84263.0
374,Isle of Man,2022,84519.0
375,Isle of Man,2023,84710.0
376,Israel,2020,9215100.0
377,Israel,2021,9371400.0
378,Israel,2022,9557500.0
379,Israel,2023,9756700.0
380,Italy,2020,59438851.0
381,Italy,2021,59133173.0
382,Italy,2022,58940425.0
383,Italy,2023,58761146.0
384,Jamaica,2020,2820436.0
385,Jamaica,2021,2827695.0
386,Jamaica,2022,2827377.0
387,Jamaica,2023,2825544.0
388,Japan,2020,126261000.0
389,Japan,2021,125681593.0
390,Japan,2022,125124989.0
391,Japan,2023,124516650.0
392,Jordan,2020,10928721.0
393,Jordan,2021,11148278.0
394,Jordan,2022,11285869.0
395,Jordan,2023,11337052.0
396,Kazakhstan,2020,18755666.0
397,Kazakhstan,2021,19191356.0
398,Kazakhstan,2022,19634983.0
399,Kazakhstan,2023,19900177.0
400,Kenya,2020,51985780.0
401,Kenya,2021,53005614.0
402,Kenya,2022,54027487.0
403,Kenya,2023,55100586.0
404,Kiribati,2020,126463.0
405,Kiribati,2021,128874.0
406,Kiribati,2022,131232.0
407,Kiribati,2023,133515.0
408,Kosovo,2020,1790133.0
409,Kosovo,2021,1786038.0
410,Kosovo,2022,1768086.0
411,Kosovo,2023,1756374.0
412,Kuwait,2020,4360444.0
413,Kuwait,2021,4250114.0
414,Kuwait,2022,4268873.0
415,Kuwait,2023,4310108.0
416,Kyrgyz Republic,2020,6579900.0
417,Kyrgyz Republic,2021,6773400.0
418,Kyrgyz Republic,2022,6974900.0
419,Kyrgyz Republic,2023,7100800.0
420,Laos,2020,7319399.0
421,Laos,2021,7425057.0
422,Laos,2022,7529475.0
423,Laos,2023,7633779.0
424,Latvia,2020,1900449.0
425,Latvia,2021,1884490.0
426,Latvia,2022,1879383.0
427,Latvia,2023,1881750.0
428,Lebanon,2020,5662923.0
429,Lebanon,2021,5592631.0
430,Lebanon,2022,5489739.0
431,Lebanon,2023,5353930.0
432,Lesotho,2020,2254100.0
433,Lesotho,2021,2281454.0
434,Lesotho,2022,2305825.0
435,Lesotho,2023,2330318.0
436,Liberia,2020,5087584.0
437,Liberia,2021,5193416.0
438,Liberia,2022,5302681.0
439,Liberia,2023,5418377.0
440,Libya,2020,6653942.0
441,Libya,2021,6735277.0
442,Libya,2022,6812341.0
443,Libya,2023,6888388.0
444,Liechtenstein,2020,38756.0
445,Liechtenstein,2021,39039.0
446,Liechtenstein,2022,39327.0
447,Liechtenstein,2023,39584.0
448,Lithuania,2020,2794885.0
449,Lithuania,2021,2800839.0
450,Lithuania,2022,2831639.0
451,Lithuania,2023,2871897.0
452,Luxembourg,2020,630419.0
453,Luxembourg,2021,640064.0
454,Luxembourg,2022,653103.0
455,Luxembourg,2023,668606.0
456,Macau,2020,676283.0
457,Macau,2021,686607.0
458,Macau,2022,695168.0
459,Macau,2023,704149.0
460,Madagascar,2020,28225177.0
461,Madagascar,2021,28915653.0
462,Madagascar,2022,29611714.0
463,Madagascar,2023,30325732.0
464,Malawi,2020,19377061.0
465,Malawi,2021,19889742.0
466,Malawi,2022,20405317.0
467,Malawi,2023,20931751.0
468,Malaysia,2020,33199993.0
469,Malaysia,2021,33573874.0
470,Malaysia,2022,33938221.0
471,Malaysia,2023,34308525.0
472,Maldives,2020,514438.0
473,Maldives,2021,521457.0
474,Maldives,2022,523787.0
475,Maldives,2023,521021.0
476,Mali,2020,21224040.0
477,Mali,2021,21904983.0
478,Mali,2022,22593590.0
479,Mali,2023,23293698.0
480,Malta,2020,515332.0
481,Malta,2021,518536.0
482,Malta,2022,531113.0
483,Malta,2023,553214.0
484,Marshall Islands,2020,43413.0
485,Marshall Islands,2021,42050.0
486,Marshall Islands,2022,41569.0
487,Marshall Islands,2023,41996.0
488,Mauritania,2020,4498604.0
489,Mauritania,2021,4614974.0
490,Mauritania,2022,4736139.0
491,Mauritania,2023,4862989.0
492,Mauritius,2020,1266014.0
493,Mauritius,2021,1266334.0
494,Mauritius,2022,1262523.0
495,Mauritius,2023,1261041.0
496,Mexico,2020,125998302.0
497,Mexico,2021,126705138.0
498,Mexico,2022,127504125.0
499,Mexico,2023,128455567.0
500,"Micronesia, Fed. Sts.",2020,112106.0
501,"Micronesia, Fed. Sts.",2021,113131.0
502,"Micronesia, Fed. Sts.",2022,114164.0
503,"Micronesia, Fed. Sts.",2023,115224.0
504,Moldova,2020,2635130.0
505,Moldova,2021,2595809.0
506,Moldova,2022,2538894.0
507,Moldova,2023,2486891.0
508,Monaco,2020,36922.0
509,Monaco,2021,36686.0
510,Monaco,2022,36469.0
511,Monaco,2023,36297.0
512,Mongolia,2020,3294335.0
513,Mongolia,2021,3347782.0
514,Mongolia,2022,3398366.0
